meeting	text	seq
199408	 In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Kansas City, and Dallas. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.	5
199411	 The Federal Reserve Board today approved an increase in the discount rate from 4 percent to 4 3/4 percent, effective immediately.	0
199411	 In a related move, the Federal Open Market Committee decided that the increase in the discount rate should be reflected fully in interest rates in reserve markets.	1
199411	 These measures were taken against the background of evidence of persistent strength in economic activity and high and rising levels of resource utilization. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth.	2
199411	 In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, St. Louis, and Kansas City. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve banks.	3
199502	 The Federal Reserve Board today approved an increase in the discount rate from 4 3/4 percent to 5 1/4 percent, effective immediately.	0
199502	 In a related move, the Federal Open Market Committee agreed that this increase should be reflected fully in interest rates in the reserve markets.	1
199502	 Despite tentative signs of some moderation in growth, economic activity has continued to advance at a substantial pace, while resource utilization has risen further. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth.	2
199502	 In taking the discount action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Chicago, St. Louis, Kansas City and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.	3
199507	 Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on bank reserve positions.	0
199507	 As a result of the monetary tightening initiated in early 1994, inflationary pressures have receded enough to accommodate a modest adjustment in monetary conditions.	1
199507	 Today's action will be reflected in a 25 basis point decline in the federal funds rate from about 6 percent to about 5-3/4 percent.	2
199512	 Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to decrease slightly the degree of pressure on reserve positions.	0
199512	 Since the last easing of monetary policy in July, inflation has been somewhat more favorable than anticipated, and this result along with an associated moderation in inflation expectations warrants a modest easing in monetary conditions.	1
199512	 This action is expected to be reflected in a decline in the federal funds rate of 25 basis points, from about 5 3/4 percent to about 5 1/2 percent.	2
199601	 The Federal Reserve today announced the following policy actions:	0
199601	 The Board of Governors approved a reduction in the discount rate from 5-1/4 percent to 5 percent, effective immediately.	1
199601	 In a related move, the Federal Open Market Committee agreed that the reduction would be reflected fully in interest rates in the reserve markets. This is expected to result in a reduction in the federal funds rate of 25 basis points, from about 5-1/2 percent to about 5-1/4 percent.	2
199601	 Moderating economic expansion in recent months has reduced potential inflationary pressures going forward. With price and cost trends already subdued, a slight easing of monetary policy is consistent with contained inflation and sustainable growth.	3
199601	 In taking the discount action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Philadelphia, Cleveland, Atlanta, Minneapolis, and Dallas.	4
199703	 The Federal Open Market Committee decided today to tighten money market conditions slightly, expecting the federal funds rate to rise 1/4 percentage point to around 5-1/2 percent.	0
199703	 This action was taken in light of persisting strength in demand, which is progressively increasing the risk of inflationary imbalances developing in the economy that would eventually undermine the long expansion.	1
199703	 In these circumstances, the slight firming of monetary conditions is viewed as a prudent step that affords greater assurance of prolonging the current economic expansion by sustaining the existing low inflation environment through the rest of this year and next. The experience of the last several years has reinforced the conviction that low inflation is essential to realizing the economy's fullest growth potential.	2
199703	 No change was made in the Federal Reserve discount rate, which remains at 5 percent.	3
199809	 The Federal Open Market Committee decided today to ease the stance of monetary policy slightly, expecting the federal funds rate to decline 1/4 percentage point to around 5-1/4 percent.	0
199809	 The action was taken to cushion the effects on prospective economic growth in the United States of increasing weakness in foreign economies and of less accommodative financial conditions domestically. The recent changes in the global economy and adjustments in U.S. financial markets mean that a slightly lower federal funds rate should now be consistent with keeping inflation low and sustaining economic growth going forward.	1
199809	 The discount rate remains unchanged at 5 percent.	2
199811	 The Federal Reserve today announced the following set of policy actions:	0
199811	 The Board of Governors approved a reduction in the discount rate by 25 basis points from 4-3/4 percent to 4-1/2 percent.	1
199811	 The federal funds rate is expected to fall 25 basis points from around 5 percent to around 4-3/4 percent.	2
199811	 Although conditions in financial markets have settled down materially since mid-October, unusual strains remain. With the 75 basis point decline in the federal funds rate since September, financial conditions can reasonably be expected to be consistent with fostering sustained economic expansion while keeping inflationary pressures subdued.	3
199811	 In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Philadelphia, and Dallas. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.	4
199905	 The Federal Reserve released the following statement after today's Federal Open Market Committee meeting:	0
199905	 While the FOMC did not take action today to alter the stance of monetary policy, the Committee was concerned about the potential for a buildup of inflationary imbalances that could undermine the favorable performance of the economy and therefore adopted a directive that is tilted toward the possibility of a firming in the stance of monetary policy. Trend increases in costs and core prices have generally remained quite subdued. But domestic financial markets have recovered and foreign economic prospects have improved since the easing of monetary policy last fall. Against the background of already-tight domestic labor markets and ongoing strength in demand in excess of productivity gains, the Committee recognizes the need to be alert to developments over coming months that might indicate that financial conditions may no longer be consistent with containing inflation.	1
199906	 The Federal Open Market Committee today voted to raise its target for the federal funds rate 25 basis points to 5 percent. Last fall the Committee reduced interest rates to counter a significant seizing-up of financial markets in the United States. Since then much of the financial strain has eased, foreign economies have firmed, and economic activity in the United States has moved forward at a brisk pace. Accordingly, the full degree of adjustment is judged no longer necessary.	0
199906	 Labor markets have continued to tighten over recent quarters, but strengthening productivity growth has contained inflationary pressures.	1
199906	 Owing to the uncertain resolution of the balance of conflicting forces in the economy going forward, the FOMC has chosen to adopt a directive that includes no predilection about near-term policy action. The Committee, nonetheless, recognizes that in the current dynamic environment it must be especially alert to the emergence, or potential emergence, of inflationary forces that could undermine economic growth.	2
199908	 The Federal Open Market Committee today voted to raise its target for the federal funds rate by 25 basis points to 5-1/4 percent. In a related action, the Board of Governors approved a 25 basis point increase in the discount rate to 4-3/4 percent.	0
199908	 With financial markets functioning more normally, and with persistent strength in domestic demand, foreign economies firming and labor markets remaining very tight, the degree of monetary ease required to address the global financial market turmoil of last fall is no longer consistent with sustained, noninflationary, economic expansion.	1
199908	 Today's increase in the federal funds rate, together with the policy action in June and the firming of conditions more generally in U.S. financial markets over recent months, should markedly diminish the risk of rising inflation going forward. As a consequence, the directive the Federal Open Market Committee adopted is symmetrical with regard to the outlook for policy over the near term.	2
199908	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Kansas City, and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.	3
199910	 The Federal Open Market Committee decided today to leave its target for the federal funds rate unchanged.	0
199910	 Strengthening productivity growth has been fostering favorable trends in unit costs and prices, and much recent information suggests that these trends have been sustained.	1
199910	 Nonetheless, the growth of demand has continued to outpace that of supply, as evidenced by a decreasing pool of available workers willing to take jobs. In these circumstances, the Federal Open Market Committee will need to be especially alert in the months ahead to the potential for costs to increase significantly in excess of productivity in a manner that could contribute to inflation pressures and undermine the impressive performance of the economy.	2
199910	 Against this background, the Committee adopted a directive that was biased toward a possible firming of policy going forward. Committee members emphasized that such a directive did not signify a commitment to near-term action. The Committee will need to evaluate additional information on the balance of aggregate supply and demand and conditions in financial markets.	3
199911	 The Federal Open Market Committee today voted to raise its target for the federal funds rate by 25 basis points to 5-1/2 percent. In a related action, the Board of Governors approved a 25 basis point increase in the discount rate to 5 percent.	0
199911	 Although cost pressures appear generally contained, risks to sustainable growth persist. Despite tentative evidence of a slowing in certain interest-sensitive sectors of the economy and of accelerating productivity, the expansion of activity continues in excess of the economy's growth potential. As a consequence, the pool of available workers willing to take jobs has been drawn down further in recent months, a trend that must eventually be contained if inflationary imbalances are to remain in check and economic expansion continue.	1
199911	 Today's increase in the federal funds rate, together with the policy actions in June and August and the firming of conditions more generally in U.S. financial markets over the course of the year, should markedly diminish the risk of inflation going forward. As a consequence, the directive the Federal Open Market Committee adopted is symmetrical with regard to the outlook for policy over the near term.	2
199911	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, Cleveland, Richmond and Kansas City. The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks.	3
199912	 The Federal Open Market Committee made no change today in its target for the federal funds rate.	0
199912	 Based on the available evidence, however, the Committee remains concerned with the possibility that over time increases in demand will continue to exceed the growth in potential supply, even after taking account of the remarkable rise in productivity growth. Such trends could foster inflationary imbalances that would undermine the economy's exemplary performance.	1
199912	 Nonetheless, in light of market uncertainties associated with the century date change, the Committee decided to adopt a symmetric directive in order to indicate that the focus of policy in the intermeeting period must be ensuring a smooth transition into the Year 2000. At its next meeting the Committee will assess available information on the likely balance of supply and demand, conditions in financial markets, and the possible need for adjustment in the stance of policy to contain inflationary pressures.	2
200002	 The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 5-3/4 percent. In a related action, the Board of Governors approved a 25 basis point increase in the discount rate to 5-1/4 percent.	0
200002	 The Committee remains concerned that over time increases in demand will continue to exceed the growth in potential supply, even after taking account of the pronounced rise in productivity growth. Such trends could foster inflationary imbalances that would undermine the economy's record economic expansion.	1
200002	 Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.	2
200002	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Kansas City and San Francisco. The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks.	3
200003	 The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 6 percent. In a related action, the Board of Governors approved a 25 basis point increase in the discount rate to 5-1/2 percent.	0
200003	 Economic conditions and considerations addressed by the Committee are essentially the same as when the Committee met in February. The Committee remains concerned that increases in demand will continue to exceed the growth in potential supply, which could foster inflationary imbalances that would undermine the economy's record economic expansion.	1
200003	 Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.	2
200003	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City and San Francisco. The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks.	3
200005	 The Federal Open Market Committee voted today to raise its target for the federal funds rate by 50 basis points to 6-1/2 percent. In a related action, the Board of Governors approved a 50 basis point increase in the discount rate to 6 percent.	0
200005	 Increases in demand have remained in excess of even the rapid pace of productivity-driven gains in potential supply, exerting continued pressure on resources. The Committee is concerned that this disparity in the growth of demand and potential supply will continue, which could foster inflationary imbalances that would undermine the economy's outstanding performance.	1
200005	 Against the background of its long-term goals of price stability and sustainable economic growth and of the information already available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.	2
200005	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, Cleveland, Richmond, and San Francisco. The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks.	3
200006	 The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent.	0
200006	 Recent data suggest that the expansion of aggregate demand may be moderating toward a pace closer to the rate of growth of the economy's potential to produce. Although core measures of prices are rising slightly faster than a year ago, continuing rapid advances in productivity have been containing costs and holding down underlying price pressures.	1
200006	 Nonetheless, signs that growth in demand is moving to a sustainable pace are still tentative and preliminary, and the utilization of the pool of available workers remains at an unusually high level.	2
200006	 In these circumstances, and against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.	3
200008	 The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent.	0
200008	 Recent data have indicated that the expansion of aggregate demand is moderating toward a pace closer to the rate of growth of the economy's potential to produce. The data also have indicated that more rapid advances in productivity have been raising that potential growth rate as well as containing costs and holding down underlying price pressures.	1
200008	 Nonetheless, the Committee remains concerned about the risk of a continuing gap between the growth of demand and potential supply at a time when the utilization of the pool of available workers remains at an unusually high level.	2
200008	 Against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.	3
200010	 The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent.	0
200010	 Recent data have indicated that the expansion of aggregate demand has moderated to a pace closer to the enhanced rate of growth of the economy's potential to produce. The more rapid advances in productivity also continue to help contain costs and hold down underlying price pressures.	1
200010	 However, the utilization of the pool of available workers remains at an unusually high level. Moreover, the increase in energy prices, though having limited effect on core measures of prices to date, poses a risk of raising inflation expectations. The subdued behavior of those expectations so far has contributed importantly to maintaining an environment conducive to maximum sustainable growth.	2
200010	 Against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the future.	3
200011	 The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent.	0
200011	 The utilization of the pool of available workers remains at an unusually high level, and the increase in energy prices, though having limited effect on core measures of prices to date, still harbors the possibility of raising inflation expectations. The Committee, accordingly, continues to see a risk of heightened inflation pressures. However, softening in business and household demand and tightening conditions in financial markets over recent months suggest that the economy could expand for a time at a pace below the productivity-enhanced rate of growth of its potential to produce.	1
200011	 Nonetheless, to date the easing of demand pressures has not been sufficient to warrant a change in the Committee's judgment that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.	2
200012	 The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent.	0
200012	 The drag on demand and profits from rising energy costs, as well as eroding consumer confidence, reports of substantial shortfalls in sales and earnings, and stress in some segments of the financial markets suggest that economic growth may be slowing further. While some inflation risks persist, they are diminished by the more moderate pace of economic activity and by the absence of any indication that longer-term inflation expectations have increased. The Committee will continue to monitor closely the evolving economic situation.	1
200012	 Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee consequently believes that the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.	2
200101	 The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5-1/2 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 5 percent.	0
200101	 Consumer and business confidence has eroded further, exacerbated by rising energy costs that continue to drain consumer purchasing power and press on business profit margins. Partly as a consequence, retail sales and business spending on capital equipment have weakened appreciably. In response, manufacturing production has been cut back sharply, with new technologies appearing to have accelerated the response of production and demand to potential excesses in the stock of inventories and capital equipment.	1
200101	 Taken together, and with inflation contained, these circumstances have called for a rapid and forceful response of monetary policy. The longer-term advances in technology and accompanying gains in productivity, however, exhibit few signs of abating and these gains, along with the lower interest rates, should support growth of the economy over time.	2
200101	 Nonetheless, the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.	3
200101	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Philadelphia, Cleveland, Atlanta, Chicago, St. Louis, Minneapolis, Dallas and San Francisco.	4
200103	 The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 4-1/2 percent.	0
200103	 Persistent pressures on profit margins are restraining investment spending and, through declines in equity wealth, consumption. The associated backup in inventories has induced a rapid response in manufacturing output and, with spending having firmed a bit since last year, inventory adjustment appears to be well underway.	1
200103	 Although current developments do not appear to have materially diminished the prospects for long-term growth in productivity, excess productive capacity has emerged recently. The possibility that this excess could continue for some time and the potential for weakness in global economic conditions suggest substantial risks that demand and production could remain soft. In these circumstances, when the economic situation could be evolving rapidly, the Federal Reserve will need to monitor developments closely.	2
200103	 The Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.	3
200103	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of all twelve Reserve Banks.	4
200105	 The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 4 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 3-1/2 percent.	0
200105	 A significant reduction in excess inventories seems well advanced. Consumption and housing expenditures have held up reasonably well, though activity in these areas has flattened recently. Investment in capital equipment, however, has continued to decline. The erosion in current and prospective profitability, in combination with considerable uncertainty about the business outlook, seems likely to hold down capital spending going forward. This potential restraint, together with the possible effects of earlier reductions in equity wealth on consumption and the risk of slower growth abroad, continues to weigh on the economy.	1
200105	 With pressures on labor and product markets easing, inflation is expected to remain contained. Although measured productivity growth stalled in the first quarter, the impressive underlying rate of increase that developed in recent years appears to be largely intact, supporting longer-term prospects.	2
200105	 The Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.	3
200105	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, Richmond, Chicago, St. Louis and San Francisco.	4
200106	 The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 25 basis points to 3-3/4 percent. In a related action, the Board of Governors approved a 25 basis point reduction in the discount rate to 3-1/4 percent. Today's action by the FOMC brings the decline in the target federal funds rate since the beginning of the year to 275 basis points.	0
200106	 The patterns evident in recent months--declining profitability and business capital spending, weak expansion of consumption, and slowing growth abroad--continue to weigh on the economy. The associated easing of pressures on labor and product markets is expected to keep inflation contained.	1
200106	 Although continuing favorable trends bolster long-term prospects for productivity growth and the economy, the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.	2
200106	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Atlanta, Chicago, Dallas and San Francisco.	3
200108	 The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 25 basis points to 3-1/2 percent. In a related action, the Board of Governors approved a 25 basis point reduction in the discount rate to 3 percent. Today's action by the FOMC brings the decline in the target federal funds rate since the beginning of the year to 300 basis points.	0
200108	 Household demand has been sustained, but business profits and capital spending continue to weaken and growth abroad is slowing, weighing on the U.S. economy. The associated easing of pressures on labor and product markets is expected to keep inflation contained.	1
200108	 Although long-term prospects for productivity growth and the economy remain favorable, the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.	2
200108	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Richmond, Chicago, Kansas City and Dallas.	3
200110	 The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 2-1/2 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 2 percent.	0
200110	 The terrorist attacks have significantly heightened uncertainty in an economy that was already weak. Business and household spending as a consequence are being further damped. Nonetheless, the long-term prospects for productivity growth and the economy remain favorable and should become evident once the unusual forces restraining demand abate.	1
200110	 The Committee continues to believe that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.	2
200110	 In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Cleveland, Richmond, Atlanta, St. Louis, Kansas City and San Francisco.	3
200111	 The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 2 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 1-1/2 percent.	0
200111	 Heightened uncertainty and concerns about a deterioration in business conditions both here and abroad are damping economic activity. For the foreseeable future, then, the Committee continues to believe that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness.	1
200111	 Although the necessary reallocation of resources to enhance security may restrain advances in productivity for a time, the long-term prospects for productivity growth and the economy remain favorable and should become evident once the unusual forces restraining demand abate.	2
200111	 In taking the discount rate action, the Federal Reserve Board approved the request submitted by the Board of Directors of the Federal Reserve Bank of Richmond.	3
200112	 The Federal Open Market Committee decided today to lower its target for the federal funds rate by 25 basis points to 1-3/4 percent. In a related action, the Board of Governors approved a 25 basis point reduction in the discount rate to 1-1/4 percent.	0
200112	 Economic activity remains soft, with underlying inflation likely to edge lower from relatively modest levels. To be sure, weakness in demand shows signs of abating, but those signs are preliminary and tentative. The Committee continues to believe that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.	1
200112	 Although the necessary reallocation of resources to enhance security may restrain advances in productivity for a time, the long-term prospects for productivity growth and the economy remain favorable and should become evident once the unusual forces restraining demand abate.	2
200112	 In taking the discount rate action, the Federal Reserve Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Chicago and San Francisco.	3
200201	 The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-3/4 percent.	0
200201	 Signs that weakness in demand is abating and economic activity is beginning to firm have become more prevalent. With the forces restraining the economy starting to diminish, and with the long-term prospects for productivity growth remaining favorable and monetary policy accommodative, the outlook for economic recovery has become more promising.	1
200201	 The degree of any strength in business capital and household spending, however, is still uncertain. Hence, the Committee continues to believe that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.	2
200203	 The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-3/4 percent.	0
200203	 The information that has become available since the last meeting of the Committee indicates that the economy, bolstered by a marked swing in inventory investment, is expanding at a significant pace. Nonetheless, the degree of the strengthening in final demand over coming quarters, an essential element in sustained economic expansion, is still uncertain.	1
200203	 In these circumstances, although the stance of monetary policy is currently accommodative, the Committee believes that, for the foreseeable future, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals.	2
200203	 The Committee decided to include in its announcements following its meetings the roll call of the vote on the federal funds rate target, including the preferred policy choice of any dissenters. This action accelerates the release of this information, currently available in the Minutes with a lag. To conform to this new practice, the Board of Governors also decided to report in the written announcement the roll call of any vote on the discount rate, also including the preferred policy choice of any dissenters.	3
200203	 Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jerry L. Jordan; Robert D. McTeer, Jr.; Mark W. Olson; Anthony M. Santomero, and Gary H. Stern.	4
200205	 The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent.	0
200205	 The information that has become available since the last meeting of the Committee confirms that economic activity has been receiving considerable upward impetus from a marked swing in inventory investment. Nonetheless, the degree of the strengthening in final demand over coming quarters, an essential element in sustained economic expansion, is still uncertain.	1
200205	 In these circumstances, although the stance of monetary policy is currently accommodative, the Committee believes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals.	2
200205	 Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jerry L. Jordan; Robert D. McTeer, Jr.; Mark W. Olson; Anthony M. Santomero, and Gary H. Stern.	3
200205	 Voting against the action: none.	4
200206	 The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent.	0
200206	 The information that has become available since the last meeting of the Committee confirms that economic activity is continuing to increase. However, both the upward impetus from the swing in inventory investment and the growth in final demand appear to have moderated. The Committee expects the rate of increase of final demand to pick up over coming quarters, supported in part by robust underlying growth in productivity, but the degree of the strengthening remains uncertain.	1
200206	 In these circumstances, although the stance of monetary policy is currently accommodative, the Committee believes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals.	2
200206	 Voting for the FOMC monetary policy action were: Alan Greenspan, Chairman; William J. McDonough, Vice Chairman; Susan S. Bies; Roger W. Ferguson, Jr.; Edward M. Gramlich; Jerry L. Jordan; Robert D. McTeer, Jr.; Mark W. Olson; Anthony M. Santomero, and Gary H. Stern.	3
200206	 Voting against the action: none.	4
200208	 The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent.	0
200208	 The softening in the growth of aggregate demand that emerged this spring has been prolonged in large measure by weakness in financial markets and heightened uncertainty related to problems in corporate reporting and governance.	1
200208	 The current accommodative stance of monetary policy, coupled with still-robust underlying growth in productivity, should be sufficient to foster an improving business climate over time.	2
200208	 Nonetheless, the Committee recognizes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness.	3
